Country or Area,Year,Male Labor force participation (No kids 6 and under),Female Labor force participation (No kids 6 and under)
Åland Islands,2000,52.826771653543304,49.57938207402876
Anguilla,2011,77.79302234417875,69.8109640831758
Anguilla,2001,57.484388938447815,48.80911287538833
Argentina,2010,76.05843908506252,52.412778253730664
Armenia,2011,66.24928736787847,50.588180777585556
Australia,2016,52.22062906969111,45.90005202759149
Australia,2006,52.869547310068555,44.02494977894382
Austria,2011,55.419867130376666,46.487907851481964
Austria,2001,56.97339471031106,42.73818536263281
Azerbaijan,2009,57.44405012869252,45.03134282701896
Bangladesh,2011,55.40680861474668,56.459653260524256
Belarus,2019,75.44502094268408,66.15269425260094
Belarus,2009,56.80927249736937,47.21454637583776
Belarus,1999,51.66790634516847,43.273295222478495
Belgium,2011,48.25896131564069,39.77993970265694
Belgium,2001,48.63042916158767,37.36945209416481
Benin,2013,49.12882346080188,32.052651720885194
Benin,2002,60.068823049402496,54.84935575792256
Bermuda,2000,67.34111804576874,58.11141767678334
Brazil,2000,69.62650129576585,44.13587654274395
British Virgin Islands,2010,63.733719247467434,59.83560488970072
Bulgaria,2001,53.161284309372384,44.305554052738074
Cambodia,2008,52.87023404041772,52.449710943673125
Cambodia,1998,44.94031289282158,44.58303128724953
Canada,2016,57.341921023263595,51.1230243434396
Canada,2011,58.08634600643069,51.53940871941135
Canada,2006,58.857080033171805,51.05662919202049
Canada,2001,58.032480161216405,49.22174548715867
Cayman Islands,2010,70.23035379698005,65.41683143401517
China,2010,62.795088967934156,52.73406554026386
"China, Hong Kong SAR",2021,57.624930261271516,49.48259689198405
"China, Hong Kong SAR",2016,59.75279095990297,48.92239088786468
"China, Hong Kong SAR",2011,58.3599529520756,47.75745967757985
"China, Hong Kong SAR",2006,58.978214189252775,45.72193496111534
"China, Hong Kong SAR",2001,59.32334635277158,43.49974949204582
"China, Hong Kong SAR",1996,61.937861212628775,40.43809691041725
Croatia,2001,50.80467250339436,37.69104433514659
Cuba,2012,68.21965133966565,40.67592709343887
Czechia,2011,53.81927469868483,43.751156887238366
Czechia,2001,57.677259115737215,45.348380112839415
Denmark,2003,57.10272184397446,49.25684028864967
Equatorial Guinea,2015,33.25300411582892,34.26699603877873
Finland,2021,49.16413296032494,46.15035437689845
Finland,2010,49.871513817381334,46.69935619651718
Finland,2002,51.40464361102685,46.45783257476669
Finland,1995,50.4605087046961,43.88339602876054
France,2015,50.0642016180477,44.2467015542981
France,1999,50.454777929403114,40.4410625652497
French Guiana,2015,39.226877556759646,38.049874417570564
Germany,2011,58.13045933836752,48.41618440472035
Germany,2001,55.857595688639705,42.221416162348945
Ghana,2000,61.54373669858556,59.042649586742904
Greece,2011,51.06505987019592,34.074379342300276
Greece,2001,53.08972543450303,31.448278660329514
Guadeloupe,2015,45.88508888220787,45.478379131674
Guernsey,2018,54.574623237724836,46.31414845216506
Guernsey,1996,61.57768021526696,45.80937674540855
Guinea,1996,48.84940920089514,42.91782538526397
Hungary,2011,50.98920647946086,40.338089600431026
Hungary,2001,46.56798573387072,34.55020088206722
Ireland,2011,54.070864641556135,43.3302541552709
Ireland,2006,57.22626794350856,42.2731261065278
Ireland,2002,54.64652516437464,37.41285687396343
Ireland,1996,53.343680147892044,31.41837659617001
Isle of Man,2016,67.13989943803608,56.922117320178046
Isle of Man,2001,57.989938991758535,46.25478263102483
Isle of Man,1996,56.0623042216283,41.452447381964944
Italy,2011,51.65762426802909,36.287679217284456
Kenya,2019,55.47222540961999,52.74197305586831
Kuwait,1995,60.361316119887476,29.39731795381004
Lao People's Democratic Republic,1995,70.830275812177,71.0164834314173
Latvia,2011,53.247112890576275,46.40730999431631
Liechtenstein,2015,59.49624866023579,48.555004746334774
Liechtenstein,2010,61.43911439114391,48.436730000547556
Lithuania,2021,54.75081707172224,50.62604761866814
Lithuania,2011,62.68957619369119,51.652023403870274
Luxembourg,2011,47.410449195386065,38.80436387371496
Luxembourg,2001,52.06034884848597,35.17923927568857
Malawi,2018,43.25337442175402,42.88647487378473
