,Country or Area,Year,Sex,Educational attainment,Education by Sex,Literacy,Literacy by Sex,Marital status,Employment Status By Marital Status and Sex
0,Albania,2011,Female,Bachelor or equivalent,0.0628536804355141,,,,
1,Albania,2011,Female,High school or equivalent,0.1457000297095086,,,,
2,Albania,2011,Female,Middle school or equivalent,0.2334111350111774,,,,
3,Albania,2011,Female,No education,0.0033844433878977,,,,
4,Albania,2011,Female,Primary education or less,0.0535841260171282,,,,
5,Albania,2011,Male,Bachelor or equivalent,0.060414496926028,,,,
6,Albania,2011,Male,High school or equivalent,0.1816682475754835,,,,
7,Albania,2011,Male,Middle school or equivalent,0.217089209722378,,,,
8,Albania,2011,Male,No education,0.0026672849498575,,,,
9,Albania,2011,Male,Primary education or less,0.0392273462650266,,,,
10,Antigua and Barbuda,2001,Female,High school or equivalent,0.1300497259627599,,,,
11,Antigua and Barbuda,2001,Female,Middle school or equivalent,0.2432216616456753,,,,
12,Antigua and Barbuda,2001,Female,No education,0.0,,,,
13,Antigua and Barbuda,2001,Female,Primary education or less,0.1683604950818482,,,,
14,Antigua and Barbuda,2001,Male,High school or equivalent,0.1124823055424485,,,,
15,Antigua and Barbuda,2001,Male,Middle school or equivalent,0.1873253239446844,,,,
16,Antigua and Barbuda,2001,Male,No education,0.0,,,,
17,Antigua and Barbuda,2001,Male,Primary education or less,0.1585604878225835,,,,
18,Argentina,2010,Female,Bachelor or equivalent,0.1341261479019802,Literate,0.5080801150360535,,
19,Argentina,2010,Female,High school or equivalent,0.206857500468493,Literate,0.5080801150360535,,
20,Argentina,2010,Female,Primary education or less,0.1796612442279452,Literate,0.5080801150360535,,
21,Argentina,2010,Male,Bachelor or equivalent,0.0945778131472978,Literate,0.4727685378489425,,
22,Argentina,2010,Male,High school or equivalent,0.2095661612526216,Literate,0.4727685378489425,,
23,Argentina,2010,Male,Primary education or less,0.175211133001662,Literate,0.4727685378489425,,
24,Armenia,2001,Female,Bachelor or equivalent,0.0447837784960591,Literate,0.5233022091003217,,
25,Armenia,2001,Female,High school or equivalent,0.2170507380286136,Literate,0.5233022091003217,,
26,Armenia,2001,Female,Middle school or equivalent,0.2242684655120823,Literate,0.5233022091003217,,
27,Armenia,2001,Female,No education,0.0022326639725635,Literate,0.5233022091003217,,
28,Armenia,2001,Female,Primary education or less,0.0439261839859792,Literate,0.5233022091003217,,
29,Armenia,2001,Male,Bachelor or equivalent,0.0404518267400146,Literate,0.4711743150396895,,
30,Armenia,2001,Male,High school or equivalent,0.1877509280845453,Literate,0.4711743150396895,,
31,Armenia,2001,Male,Middle school or equivalent,0.2061120409310767,Literate,0.4711743150396895,,
32,Armenia,2001,Male,No education,0.0007665534441883,Literate,0.4711743150396895,,
33,Armenia,2001,Male,Primary education or less,0.032656820804877,Literate,0.4711743150396895,,
34,Armenia,2011,Female,Bachelor or equivalent,0.1217001886887841,Literate,0.5267310598463835,,
35,Armenia,2011,Female,High school or equivalent,0.3479212432258769,Literate,0.5267310598463835,,
36,Armenia,2011,Female,Middle school or equivalent,0.0447891235675063,Literate,0.5267310598463835,,
37,Armenia,2011,Female,No education,0.0023675794506987,Literate,0.5267310598463835,,
38,Armenia,2011,Female,Primary education or less,0.0161478132812767,Literate,0.5267310598463835,,
39,Armenia,2011,Male,Bachelor or equivalent,0.1032589994112649,Literate,0.4707941626761847,,
40,Armenia,2011,Male,High school or equivalent,0.3020239603769861,Literate,0.4707941626761847,,
41,Armenia,2011,Male,Middle school or equivalent,0.0491206482935651,Literate,0.4707941626761847,,
42,Armenia,2011,Male,No education,0.0014343283119611,Literate,0.4707941626761847,,
43,Armenia,2011,Male,Primary education or less,0.0112361153920796,Literate,0.4707941626761847,,
44,Aruba,2000,Female,Bachelor or equivalent,0.0713902883481625,Literate,0.5121999857560002,,
45,Aruba,2000,Female,High school or equivalent,0.0355113853881143,Literate,0.5121999857560002,,
46,Aruba,2000,Female,Middle school or equivalent,0.1710641165030689,Literate,0.5121999857560002,,
47,Aruba,2000,Female,Primary education or less,0.2502335267904993,Literate,0.5121999857560002,,
48,Aruba,2000,Male,Bachelor or equivalent,0.0748970185136986,Literate,0.4610212947795741,,
49,Aruba,2000,Male,High school or equivalent,0.02500650812367,Literate,0.4610212947795741,,
50,Aruba,2000,Male,Middle school or equivalent,0.1697778050013002,Literate,0.4610212947795741,,
