Country or Area,Year,Male Labor force participation (No kids 6 and under),Female Labor force participation (No kids 6 and under),Male Household Labor force participation,Female Household Labor force participation,Number of Children Ever Born per Woman,Number of Children Living per Woman
Argentina,2010,76.05843908506252,52.41277825373066,98.9,55.0,,
Armenia,2011,66.24928736787847,50.58818077758556,92.54,57.458,1.779768589780861,2.3814526781357217
Australia,2016,52.22062906969111,45.90005202759149,93.536,69.57,,
Australia,2006,52.86954731006856,44.02494977894382,93.947,62.529,,
Austria,2011,55.419867130376666,46.48790785148197,96.9,72.9,,
Azerbaijan,2009,57.44405012869252,45.03134282701896,92.471,72.102,,
Bangladesh,2011,55.40680861474668,56.459653260524256,98.303,36.412,,
Belarus,2019,75.44502094268408,66.15269425260094,99.171,75.486,,
Belarus,2009,56.80927249736937,47.21454637583776,97.293,73.064,,
Belgium,2011,48.25896131564069,39.77993970265694,95.1,75.7,,
Benin,2013,49.12882346080188,32.052651720885194,99.9,79.587,,
Cambodia,2008,52.87023404041772,52.449710943673125,96.881,67.608,1.3330968753126355,1.9816101673540176
Canada,2016,57.3419210232636,51.1230243434396,94.716,74.76,,
Canada,2011,58.08634600643069,51.53940871941135,94.78,74.761,,
Canada,2006,58.857080033171805,51.05662919202049,95.087,71.906,,
China,2010,62.79508896793416,52.73406554026386,99.887,74.958,,
Cuba,2012,68.21965133966565,40.67592709343887,98.629,50.83,,
Czechia,2011,53.81927469868483,43.751156887238366,98.4,40.6,,
Equatorial Guinea,2015,33.25300411582892,34.26699603877873,80.042,66.972,,
Finland,2021,49.16413296032494,46.15035437689845,94.258,80.736,,
Finland,2010,49.87151381738133,46.69935619651718,94.592,78.246,,
France,2015,50.0642016180477,44.2467015542981,95.9,73.3,,
Germany,2011,58.13045933836752,48.41618440472035,96.9,63.4,,
Greece,2011,51.06505987019592,34.07437934230028,97.8,66.4,,
Hungary,2011,50.98920647946086,40.33808960043103,94.4,32.7,,
Ireland,2011,54.070864641556135,43.3302541552709,92.9,67.4,,
Ireland,2006,57.22626794350856,42.2731261065278,95.4,62.0,,
Italy,2011,51.65762426802909,36.287679217284456,95.962,60.856,,
Kenya,2019,55.47222540961999,52.74197305586831,98.688,82.663,,
Latvia,2011,53.24711289057628,46.40730999431631,96.8,71.0,,
Lithuania,2021,54.75081707172224,50.62604761866814,97.6,83.2,,
Lithuania,2011,62.68957619369119,51.652023403870274,98.4,85.9,,
Luxembourg,2011,47.41044919538607,38.80436387371496,96.7,74.2,,
Malawi,2018,43.25337442175402,42.88647487378473,86.388,71.78,,
Albania,2001,,,,,1.847217287480169,2.682991844615429
Albania,2011,,,,,1.814445307832579,2.614658776099181
Armenia,2001,,,,,1.7162202191321638,1.8740911028466936
Bahrain,2001,,,,,2.891109909494641,2.848124404173627
Belarus,1999,,,,,1.642106467242527,1.5663489290684054
Bolivia (Plurinational State of),2012,,,,,2.9814888508012807,3.2314579423361827
Cambodia,1998,,,,,1.337848337737106,2.236453179647829
Chile,2002,,,,,2.195760601282573,2.726980318628783
China,2000,,,,,1.27384553848929,1.2918328506072525
Cook Islands,1996,,,,,3.8079436902966313,3.7489467162329615
Cook Islands,2011,,,,,2.544753666792027,2.478862701084924
Dominican Republic,2010,,,,,2.436232685429513,3.0514481401784943
Georgia,2002,,,,,2.270885505736283,2.107153880319489
Kazakhstan,1999,,,,,2.048080124317455,1.8527382572963096
Kiribati,2010,,,,,3.8331544584563098,2.068826449211133
Kyrgyzstan,2009,,,,,1.9746312694168937,1.959427565849722
Lao People's Democratic Republic,2015,,,,,1.6898252007450816,1.6212758085567762
Malawi,1998,,,,,2.8544320826655407,2.544347663531624
Maldives,2014,,,,,3.61658198442178,3.3196512539184955
Mali,1998,,,,,3.420176689833748,2.555507243816119
Mexico,2000,,,,,2.066892625735631,3.01187833243495
Republic of Korea,2015,,,,,2.192390076893504,2.142590415344449
Republic of Moldova,2004,,,,,1.7060882834765827,1.6283570659562048
Saint Helena ex. dep.,1998,,,,,2.06688241639698,2.013262599469496
Sri Lanka,2001,,,,,2.9235894581649826,2.8861806735198945
Sri Lanka,2012,,,,,2.625666277164848,2.48737223340818
State of Palestine,1997,,,,,3.376103960577572,3.4375071111616795
Tajikistan,2010,,,,,2.3637171796390697,2.327014834484273
Thailand,2000,,,,,2.361388027859952,2.298104183625352
Timor-Leste,2004,,,,,2.9713490132891147,2.35045109175036
Tokelau,2011,,,,,4.398467432950191,4.115830115830116
Türkiye,2000,,,,,3.022850917881789,2.7097742676800696
Türkiye,2011,,,,,2.2888680808153565,2.1408470926058865
Ukraine,2001,,,,,1.517800296093839,1.4254391299139173
Uruguay,1996,,,,,1.763347854173223,1.7125335200708505
Venezuela (Bolivarian Republic of),2001,,,,,1.9120316894190483,2.721773608892516
Viet Nam,1999,,,,,1.7311140367769218,1.6644286281276135
